Rk,Tm▲,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Arizona Cardinals,16,436,2008,13,4.6,125.5,-24.28
2,Atlanta Falcons,16,380,1677,15,4.4,104.8,20.45
3,Baltimore Ravens,16,382,1740,12,4.6,108.8,14.33
4,Buffalo Bills,16,414,1914,21,4.6,119.6,-53.52
5,Carolina Panthers,16,408,1936,17,4.7,121.0,-27.66
6,Chicago Bears,16,438,1814,11,4.1,113.4,25.22
7,Cincinnati Bengals,16,463,2368,13,5.1,148.0,-30.61
8,Cleveland Browns,16,412,1773,16,4.3,110.8,-19.02
9,Dallas Cowboys,16,510,2541,20,5.0,158.8,-50.73
10,Denver Broncos,16,434,2080,22,4.8,130.0,-28.92
11,Detroit Lions,16,487,2158,27,4.4,134.9,-42.32
12,Green Bay Packers,16,397,1805,16,4.5,112.8,-36.94
13,Houston Texans,16,493,2564,24,5.2,160.3,-58.20
14,Indianapolis Colts,16,390,1448,16,3.7,90.5,13.82
15,Jacksonville Jaguars,16,517,2452,23,4.7,153.3,-26.00
16,Kansas City Chiefs,16,433,1954,14,4.5,122.1,-54.78
17,Las Vegas Raiders,16,438,2013,24,4.6,125.8,-38.01
18,Los Angeles Chargers,16,427,1917,17,4.5,119.8,-3.97
19,Los Angeles Rams,16,388,1460,12,3.8,91.3,35.94
20,Miami Dolphins,16,412,1862,17,4.5,116.4,-26.37
21,Minnesota Vikings,16,472,2151,19,4.6,134.4,-41.77
22,New England Patriots,16,464,2103,17,4.5,131.4,-42.97
23,New Orleans Saints,16,390,1502,11,3.9,93.9,22.79
24,New York Giants,16,432,1782,14,4.1,111.4,-0.25
25,New York Jets,16,445,1792,16,4.0,112.0,23.32
26,Philadelphia Eagles,16,481,2012,20,4.2,125.8,14.58
27,Pittsburgh Steelers,16,414,1783,13,4.3,111.4,3.99
28,San Francisco 49ers,16,430,1703,12,4.0,106.4,15.79
29,Seattle Seahawks,16,392,1529,18,3.9,95.6,13.95
30,Tampa Bay Buccaneers,16,358,1289,10,3.6,80.6,20.20
31,Tennessee Titans,16,427,1933,18,4.5,120.8,-31.76
32,Washington Football Team,16,428,1805,14,4.2,112.8,7.17
