Rk,Tm▲,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Arizona Cardinals,16,179,1113,40.2,11.7,6.2,34.4,Own 29.1,2:36,2.30
2,Atlanta Falcons,16,174,1118,44.8,10.3,6.4,33.8,Own 28.1,2:49,2.26
3,Baltimore Ravens,16,170,1022,45.3,10.6,6.0,34.1,Own 31.9,2:58,2.56
4,Buffalo Bills,16,170,1068,49.4,11.8,6.3,37.3,Own 30.7,2:59,2.80
5,Carolina Panthers,16,159,1029,40.3,13.2,6.5,35.1,Own 28.5,3:07,2.09
6,Chicago Bears,16,175,1075,38.9,12.0,6.1,30.3,Own 30.5,2:47,2.03
7,Cincinnati Bengals,16,179,1074,33.0,12.8,6.0,28.4,Own 28.0,2:47,1.70
8,Cleveland Browns,16,165,1046,40.6,9.7,6.3,35.6,Own 28.1,3:00,2.38
9,Dallas Cowboys,16,180,1154,40.6,14.4,6.4,32.9,Own 28.5,2:31,2.08
10,Denver Broncos,16,188,1065,33.0,17.0,5.7,28.4,Own 26.9,2:28,1.71
11,Detroit Lions,16,169,1014,38.5,11.2,6.0,33.0,Own 28.3,2:38,2.20
12,Green Bay Packers,16,161,1006,49.7,5.6,6.2,38.6,Own 28.8,3:14,3.08
13,Houston Texans,16,163,971,42.9,9.8,6.0,36.8,Own 26.7,2:41,2.34
14,Indianapolis Colts,16,171,1069,44.4,8.8,6.3,35.4,Own 30.2,2:55,2.36
15,Jacksonville Jaguars,16,171,1022,30.4,14.0,6.0,30.5,Own 26.5,2:36,1.71
16,Kansas City Chiefs,16,163,1084,47.9,9.2,6.7,40.7,Own 28.2,3:00,2.74
17,Las Vegas Raiders,16,169,1071,47.9,14.8,6.3,36.2,Own 29.5,2:56,2.57
18,Los Angeles Chargers,16,175,1160,38.3,8.6,6.6,34.8,Own 26.6,2:55,2.13
19,Los Angeles Rams,16,184,1118,34.2,12.5,6.1,32.7,Own 27.9,2:47,1.88
20,Miami Dolphins,16,181,1060,41.4,11.0,5.9,30.0,Own 29.7,2:46,2.10
21,Minnesota Vikings,16,176,1045,39.8,12.5,5.9,35.7,Own 26.2,2:44,2.44
22,New England Patriots,16,157,1007,36.9,12.1,6.4,33.1,Own 28.5,2:57,1.92
23,New Orleans Saints,16,178,1073,45.5,9.0,6.0,33.9,Own 32.0,2:54,2.67
24,New York Giants,16,167,998,33.5,12.6,6.0,28.7,Own 29.2,2:45,1.60
25,New York Jets,16,175,976,26.3,10.9,5.6,25.6,Own 26.4,2:33,1.36
26,Philadelphia Eagles,16,190,1085,27.9,15.3,5.7,28.1,Own 27.2,2:28,1.66
27,Pittsburgh Steelers,16,188,1067,37.2,8.5,5.7,28.4,Own 30.8,2:37,2.12
28,San Francisco 49ers,16,182,1072,36.3,14.8,5.9,32.6,Own 27.4,2:46,2.05
29,Seattle Seahawks,16,178,1046,44.4,10.1,5.9,33.1,Own 31.1,2:42,2.57
30,Tampa Bay Buccaneers,16,180,1048,47.8,8.9,5.8,34.1,Own 31.0,2:34,2.72
31,Tennessee Titans,16,167,1059,47.9,7.2,6.3,37.7,Own 28.7,2:45,2.87
32,Washington Football Team,16,183,1085,33.3,13.1,5.9,27.7,Own 28.4,2:37,1.74
