Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,PD,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,QBHits,TFL,Sk%,NY/A,ANY/A,EXP
1,Buffalo Bills,17,297,530,56.0,2771,12,2.3,19,80,3.6,5.7,4.6,10.2,163.0,65.3,42,269,91,92,7.3,4.8,3.8,20.04
2,New England Patriots,17,319,538,59.3,3181,21,3.9,23,89,4.3,6.4,5.2,10.8,187.1,73.3,36,256,86,60,6.3,5.5,4.5,-0.86
3,Chicago Bears,17,314,477,65.8,3257,31,6.5,8,56,1.7,7.6,8.1,11.5,191.6,103.3,49,366,83,77,9.3,6.2,6.7,-78.80
4,Carolina Panthers,17,337,515,65.4,3266,26,5.0,9,52,1.7,6.9,7.1,10.6,192.1,95.0,39,293,94,84,7,5.9,6.1,-47.59
5,Cleveland Browns,17,367,576,63.7,3439,29,5.0,13,79,2.3,6.4,6.4,10.1,202.3,89.4,43,273,102,76,6.9,5.6,5.5,-51.01
6,San Francisco 49ers,17,372,545,68.3,3510,25,4.6,9,55,1.7,7.1,7.3,10.4,206.5,97.0,48,364,103,98,8.1,5.9,6.1,-91.78
7,Arizona Cardinals,17,367,561,65.4,3645,30,5.3,13,73,2.3,6.9,6.9,10.6,214.4,93.5,41,227,100,76,6.8,6.1,6.1,-49.69
8,Denver Broncos,17,341,562,60.7,3652,22,3.9,13,73,2.3,6.9,6.7,11.4,214.8,85.0,36,249,83,65,6,6.1,5.9,-43.39
9,Pittsburgh Steelers,17,355,563,63.1,3656,24,4.3,13,80,2.3,7.1,6.9,11.2,215.1,88.7,55,321,106,94,8.9,5.9,5.7,-44.60
10,Green Bay Packers,17,379,603,62.9,3724,31,5.1,18,74,3.0,6.7,6.4,10.6,219.1,86.9,39,297,94,52,6.1,5.8,5.5,-33.40
11,Philadelphia Eagles,17,409,589,69.4,3756,28,4.8,12,56,2.0,6.8,6.8,9.7,220.9,95.4,29,220,83,71,4.7,6.1,6.1,-81.44
12,Los Angeles Chargers,17,357,559,63.9,3761,27,4.8,11,56,2.0,7.1,7.2,11.2,221.2,93.0,35,231,89,65,5.9,6.3,6.4,-89.74
13,Las Vegas Raiders,17,400,606,66.0,3789,29,4.8,6,74,1.0,6.6,7.1,10.0,222.9,96.4,35,207,114,65,5.5,5.9,6.4,-159.12
14,New Orleans Saints,17,369,592,62.3,3821,20,3.4,18,81,3.0,7.0,6.3,11.2,224.8,81.7,46,310,113,88,7.2,6.0,5.3,-1.74
15,New York Giants,17,402,611,65.8,3839,27,4.4,15,83,2.5,6.6,6.4,10.1,225.8,89.0,34,205,79,53,5.3,6.0,5.7,-56.19
16,Miami Dolphins,17,373,608,61.3,3871,23,3.8,14,91,2.3,7.0,6.7,11.4,227.7,85.4,48,380,129,74,7.3,5.9,5.6,-26.14
17,Jacksonville Jaguars,17,377,543,69.4,3875,24,4.4,7,50,1.3,7.6,7.9,10.9,227.9,100.8,32,236,83,63,5.6,6.7,7.0,-137.16
18,Atlanta Falcons,17,391,577,67.8,3952,31,5.4,12,77,2.1,7.1,7.3,10.5,232.5,97.4,18,152,59,58,3,6.6,6.8,-119.11
19,Indianapolis Colts,17,390,597,65.3,3980,32,5.4,19,69,3.2,7.0,6.7,10.8,234.1,90.5,33,223,86,56,5.2,6.3,6.0,-73.90
20,Dallas Cowboys,17,364,612,59.5,4049,24,3.9,26,83,4.2,7.1,6.0,11.9,238.2,76.6,41,297,114,72,6.3,6.2,5.1,13.82
21,Tampa Bay Buccaneers,17,445,680,65.4,4062,26,3.8,17,85,2.5,6.4,6.0,9.8,238.9,85.6,47,285,127,81,6.5,5.6,5.3,-30.09
22,Los Angeles Rams,17,416,625,66.6,4109,17,2.7,19,72,3.0,7.2,6.3,10.8,241.7,83.8,50,367,95,85,7.4,6.1,5.3,-41.65
23,Houston Texans,17,363,546,66.5,4117,27,4.9,17,64,3.1,8.0,7.5,12.0,242.2,94.1,32,225,70,81,5.5,7.1,6.7,-131.46
24,Detroit Lions,17,359,544,66.0,4160,31,5.7,11,68,2.0,8.0,8.2,12.1,244.7,101.0,30,201,63,58,5.2,7.2,7.5,-161.97
25,Tennessee Titans,17,395,628,62.9,4169,24,3.8,16,83,2.5,7.1,6.8,11.4,245.2,86.4,43,316,94,69,6.4,6.2,5.9,-59.34
26,Cincinnati Bengals,17,420,626,67.1,4222,26,4.2,13,63,2.1,7.2,7.1,10.7,248.4,93.1,42,276,99,80,6.3,6.3,6.2,-67.23
27,Kansas City Chiefs,17,401,610,65.7,4273,27,4.4,15,69,2.5,7.3,7.1,11.2,251.4,92.0,31,209,91,56,4.8,6.7,6.5,-110.25
28,Minnesota Vikings,17,401,626,64.1,4300,29,4.6,16,68,2.6,7.5,7.2,11.7,252.9,91.4,51,378,100,61,7.5,6.4,6.1,-57.45
29,Washington Football Team,17,400,597,67.0,4333,34,5.7,11,61,1.8,7.6,7.9,11.3,254.9,100.8,38,187,105,60,6,6.8,7.1,-142.08
30,New York Jets,17,401,587,68.3,4409,28,4.8,7,61,1.2,8.0,8.4,11.7,259.4,103.2,33,273,88,71,5.3,7.1,7.5,-198.18
31,Seattle Seahawks,17,443,658,67.3,4513,24,3.6,11,80,1.7,7.2,7.2,10.8,265.5,93.6,34,253,93,70,4.9,6.5,6.5,-126.34
32,Baltimore Ravens,17,397,621,63.9,4742,31,5.0,9,72,1.4,8.0,8.4,12.6,278.9,99.4,34,244,96,76,5.2,7.2,7.6,-166.26
