Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Baltimore Ravens,17,378,1436,13,3.8,84.5,36.77
2,Tennessee Titans,17,368,1438,14,3.9,84.6,6.93
3,Tampa Bay Buccaneers,17,366,1573,11,4.3,92.5,20.32
4,New Orleans Saints,17,426,1589,12,3.7,93.5,35.22
5,Cincinnati Bengals,17,407,1742,15,4.3,102.5,-0.39
6,Los Angeles Rams,17,443,1754,18,4.0,103.2,5.16
7,San Francisco 49ers,17,439,1760,17,4.0,103.5,28.14
8,Washington Football Team,17,430,1775,14,4.1,104.4,3.16
9,Philadelphia Eagles,17,458,1834,18,4.0,107.9,3.23
10,Indianapolis Colts,17,420,1854,10,4.4,109.1,9.34
11,Green Bay Packers,17,395,1855,13,4.7,109.1,-32.98
12,Cleveland Browns,17,437,1857,13,4.2,109.2,-20.07
13,Buffalo Bills,17,442,1866,19,4.2,109.8,2.99
14,Miami Dolphins,17,425,1867,16,4.4,109.8,-5.29
15,Denver Broncos,17,441,1892,9,4.3,111.3,-6.12
16,Dallas Cowboys,17,429,1918,13,4.5,112.8,-5.54
17,Seattle Seahawks,17,509,1932,16,3.8,113.6,27.00
18,Carolina Panthers,17,474,1935,16,4.1,113.8,13.54
19,Las Vegas Raiders,17,462,1943,18,4.2,114.3,14.70
20,Arizona Cardinals,17,426,1952,10,4.6,114.8,20.49
21,Kansas City Chiefs,17,419,1999,15,4.8,117.6,-33.70
22,New England Patriots,17,464,2103,9,4.5,123.7,-9.38
23,Chicago Bears,17,483,2127,14,4.4,125.1,0.21
24,Jacksonville Jaguars,17,493,2127,22,4.3,125.1,-25.13
25,New York Giants,17,492,2193,15,4.5,129.0,-27.69
26,Minnesota Vikings,17,475,2222,15,4.7,130.7,-44.57
27,Atlanta Falcons,17,519,2242,19,4.3,131.9,-30.17
28,Detroit Lions,17,518,2296,19,4.4,135.1,-25.93
29,New York Jets,17,525,2351,28,4.5,138.3,-3.91
30,Los Angeles Chargers,17,509,2361,22,4.6,138.9,-41.60
31,Houston Texans,17,523,2418,25,4.6,142.2,-21.18
32,Pittsburgh Steelers,17,498,2483,17,5.0,146.1,-32.29
