Rk,Tm▲,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Arizona Cardinals,17,179,1163,44.7,7.8,6.5,35.2,Own 29.5,2:58,2.46
2,Atlanta Falcons,17,177,1035,32.8,14.7,5.8,29.1,Own 28.5,2:42,1.68
3,Baltimore Ravens,17,195,1222,38.5,13.3,6.3,33.0,Own 26.9,2:54,1.97
4,Buffalo Bills,17,186,1175,45.2,11.3,6.3,34.8,Own 32.2,2:54,2.56
5,Carolina Panthers,17,195,1135,29.2,14.9,5.8,26.0,Own 28.3,2:41,1.51
6,Chicago Bears,17,178,1105,31.5,15.2,6.2,29.3,Own 28.6,2:54,1.62
7,Cincinnati Bengals,17,190,1080,42.6,10.0,5.7,32.2,Own 29.8,2:49,2.37
8,Cleveland Browns,17,177,1076,32.2,12.4,6.1,32.6,Own 28.4,2:57,1.89
9,Dallas Cowboys,17,192,1188,43.8,9.9,6.2,35.9,Own 28.5,2:43,2.46
10,Denver Broncos,17,168,1067,36.9,9.5,6.4,33.5,Own 28.0,3:07,1.96
11,Detroit Lions,17,178,1086,34.3,12.9,6.1,30.8,Own 29.1,2:47,1.81
12,Green Bay Packers,17,173,1106,44.5,6.4,6.4,35.9,Own 30.0,3:14,2.54
13,Houston Texans,17,188,1037,26.6,11.2,5.5,25.1,Own 29.3,2:33,1.41
14,Indianapolis Colts,17,180,1087,43.3,8.9,6.0,32.8,Own 31.6,3:02,2.39
15,Jacksonville Jaguars,17,178,1055,26.4,15.7,5.9,29.2,Own 25.7,2:37,1.38
16,Kansas City Chiefs,17,168,1166,48.2,13.7,6.9,40.1,Own 28.7,3:08,2.71
17,Las Vegas Raiders,17,188,1125,41.0,12.8,6.0,32.8,Own 28.0,2:48,2.02
18,Los Angeles Chargers,17,175,1155,45.7,12.0,6.6,37.9,Own 29.4,2:52,2.65
19,Los Angeles Rams,17,181,1092,45.9,12.2,6.0,34.9,Own 28.0,2:44,2.50
20,Miami Dolphins,17,186,1128,30.1,12.4,6.1,27.9,Own 28.0,2:47,1.61
21,Minnesota Vikings,17,196,1121,39.3,6.6,5.7,31.4,Own 28.6,2:34,2.08
22,New England Patriots,17,175,1091,48.0,12.6,6.2,34.3,Own 31.6,2:59,2.54
23,New Orleans Saints,17,196,1081,33.7,8.7,5.5,26.4,Own 31.1,2:39,1.85
24,New York Giants,17,189,1083,27.5,15.9,5.7,25.7,Own 26.6,2:35,1.31
25,New York Jets,17,187,1063,29.4,14.4,5.7,27.8,Own 27.5,2:32,1.61
26,Philadelphia Eagles,17,173,1108,43.4,9.2,6.4,35.0,Own 28.1,2:56,2.34
27,Pittsburgh Steelers,17,199,1153,34.7,9.5,5.8,26.8,Own 29.2,2:34,1.70
28,San Francisco 49ers,17,182,1067,41.2,11.5,5.9,34.7,Own 26.9,2:52,2.29
29,Seattle Seahawks,17,187,977,34.8,7.0,5.2,29.3,Own 29.6,2:19,2.07
30,Tampa Bay Buccaneers,17,194,1170,44.3,9.8,6.0,35.5,Own 30.0,2:40,2.59
31,Tennessee Titans,17,185,1165,38.9,13.0,6.3,31.4,Own 29.7,3:04,2.16
32,Washington Football Team,17,179,1098,34.6,13.4,6.1,30.5,Own 27.3,2:54,1.80
