Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,EXP
1,Tampa Bay Buccaneers,17,492,731,67.3,5229,43,5.9,12,1.6,62,7.4,7.8,10.9,307.6,101.6,23,154,3.1,6.9,7.4,3,5,197.87
2,Los Angeles Chargers,17,443,674,65.7,4800,38,5.6,15,2.2,72,7.4,7.6,11.3,282.4,97.4,31,214,4.4,6.8,6.9,5,5,168.57
3,Dallas Cowboys,17,444,647,68.6,4800,40,6.2,11,1.7,73,7.7,8.1,11.2,282.4,104.8,33,163,4.9,7.1,7.5,2,3,161.67
4,Kansas City Chiefs,17,448,675,66.4,4791,37,5.5,13,1.9,75,7.3,7.5,11.0,281.8,98.1,28,146,4,6.8,7.0,3,3,236.96
5,Los Angeles Rams,17,406,607,66.9,4642,41,6.8,18,3,79,8.1,8.1,12.1,273.1,101.6,31,251,4.9,7.3,7.3,3,4,237.30
6,Las Vegas Raiders,17,429,628,68.3,4567,23,3.7,14,2.2,61,7.7,7.4,11.2,268.6,93.8,40,241,6,6.8,6.6,3,6,123.07
7,Cincinnati Bengals,17,384,555,69.2,4403,36,6.5,14,2.5,82,8.7,8.8,12.5,259.0,106.9,55,403,9,7.2,7.4,2,4,149.63
8,Green Bay Packers,17,402,593,67.8,4315,39,6.6,7,1.2,75,7.6,8.4,11.3,253.8,107.4,33,211,5.3,6.9,7.6,1,2,168.40
9,Buffalo Bills,17,415,655,63.4,4284,36,5.5,16,2.4,61,6.8,6.8,10.7,252.0,91.3,27,166,4,6.3,6.3,,,167.77
10,Arizona Cardinals,17,415,591,70.2,4276,27,4.6,11,1.9,77,7.8,7.9,11.1,251.5,100.6,39,343,6.2,6.8,6.9,1,1,127.50
11,Minnesota Vikings,17,398,604,65.9,4238,34,5.6,7,1.2,64,7.4,8.0,11.2,249.3,101.6,30,212,4.7,6.7,7.3,3,4,130.70
12,San Francisco 49ers,17,343,514,66.7,4221,26,5.1,14,2.7,83,8.6,8.4,12.9,248.3,99.2,33,216,6,7.7,7.5,3,3,149.76
13,Baltimore Ravens,17,396,611,64.8,3961,21,3.4,18,2.9,49,7.0,6.3,10.8,233.0,84.4,57,306,8.5,5.9,5.3,5,5,34.10
14,New England Patriots,17,364,535,68,3857,24,4.5,13,2.4,75,7.7,7.5,11.3,226.9,95.5,28,241,5,6.9,6.7,1,1,115.80
15,Pittsburgh Steelers,17,425,664,64,3778,23,3.5,11,1.7,59,6.0,6.0,9.5,222.2,85.3,38,239,5.4,5.4,5.3,7,7,15.15
16,Atlanta Falcons,17,377,573,65.8,3713,20,3.5,15,2.6,64,7.0,6.5,10.6,218.4,86.6,40,274,6.5,6.1,5.6,3,4,32.37
17,Miami Dolphins,17,404,615,65.7,3651,21,3.4,14,2.3,65,6.4,6.1,9.7,214.8,85.4,40,285,6.1,5.6,5.3,0,2,44.64
18,Detroit Lions,17,396,593,66.8,3598,23,3.9,14,2.4,75,6.5,6.3,9.8,211.6,88.1,36,286,5.7,5.7,5.4,2,2,41.61
19,Denver Broncos,17,354,541,65.4,3593,20,3.7,9,1.7,64,7.1,7.1,10.9,211.4,91.7,40,263,6.9,6.2,6.2,0,1,82.98
20,New York Jets,17,357,603,59.2,3541,20,3.3,20,3.3,62,6.6,5.7,11.1,208.3,76.0,53,418,8.1,5.4,4.6,2,2,-31.09
21,Washington Football Team,17,356,550,64.7,3441,21,3.8,15,2.7,73,6.8,6.3,10.5,202.4,85.8,43,305,7.3,5.8,5.4,3,4,22.56
22,Jacksonville Jaguars,17,361,604,59.8,3436,12,2,17,2.8,58,6.1,5.2,10.2,202.1,72.1,32,238,5,5.4,4.6,1,2,-6.00
23,Seattle Seahawks,17,324,495,65.5,3432,30,6.1,7,1.4,84,7.7,8.3,11.8,201.9,103.1,46,383,8.5,6.3,6.9,0,1,60.57
24,Tennessee Titans,17,359,535,67.1,3418,22,4.1,14,2.6,57,7.0,6.6,10.4,201.1,90.0,47,327,8.1,5.9,5.5,3,4,54.39
25,Philadelphia Eagles,17,307,494,62.1,3404,20,4,10,2,91,7.3,7.2,11.7,200.2,89.2,31,181,5.9,6.5,6.4,2,2,59.13
26,Indianapolis Colts,17,324,521,62.2,3361,27,5.2,8,1.5,76,6.9,7.2,11.1,197.7,93.5,32,227,5.8,6.1,6.4,,,83.01
27,Cleveland Browns,17,320,520,61.5,3320,21,4,14,2.7,71,7.0,6.6,11.3,195.3,84.6,49,299,8.6,5.8,5.5,,,18.49
28,Houston Texans,17,354,546,64.8,3305,21,3.8,15,2.7,67,6.6,6.2,10.3,194.4,85.2,44,325,7.5,5.6,5.2,,,-7.51
29,Carolina Panthers,17,348,599,58.1,3239,14,2.3,21,3.5,64,6.0,4.9,10.3,190.5,68.5,52,334,8,5.0,4.0,,,-80.57
30,Chicago Bears,17,332,542,61.3,3207,16,3,20,3.7,64,6.7,5.6,10.9,188.6,75.5,58,428,9.7,5.3,4.4,2,2,-50.02
31,New York Giants,17,351,593,59.2,3196,15,2.5,20,3.4,60,5.8,4.8,9.9,188.0,70.1,38,267,6,5.1,4.1,1,1,-77.67
32,New Orleans Saints,17,293,504,58.1,3186,29,5.8,13,2.6,72,6.8,6.8,11.7,187.4,87.4,37,251,6.8,5.9,5.9,1,2,12.96
